Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
ユニコーン	ユニコーン	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	"魔法抵抗力のオーラ
目潰し攻撃"	DOUBLE_WIDE
ウォーユニコーン	ウォーユニコーン	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	"魔法抵抗力のオーラ
目潰し攻撃"	DOUBLE_WIDE
グリーンドラゴン	グリーンドラゴン	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	レベル1－3の呪文を無効化	DOUBLE_WIDE | FLYING_ARMY | KING_1
ゴールドドラゴン	ゴールドドラゴン	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	レベル1－4の呪文を無効化	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
グレムリン	グレムリン	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
マスターグレムリン	マスターグレムリン	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	長距離攻撃可能	SHOOTING_ARMY
ストーンガーゴイル	ストーンガーゴイル	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
ブラックガーゴイル	ブラックガーゴイル	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
ストーンゴーレム	ストーンゴーレム	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	呪文のダメージ50％減	0
アイアンゴーレム	アイアンゴーレム	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	呪文のダメージ75％減	0
メイジ	メイジ	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	"白兵戦のペナルティーなし
勇者の消費呪文ポイントを低減"	SHOOTING_ARMY | const_no_melee_penalty
アークメイジ	アークメイジ	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	"白兵戦のペナルティーなし
勇者の消費呪文ポイントを低減"	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
ジン	ジン	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	イフリートを憎んでいる	FLYING_ARMY
マスタージン	マスタージン	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	"呪文の使い手。効果はランダム
イフリートを憎んでいる"	FLYING_ARMY
ナーガ	ナーガ	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	敵に反撃されない	DOUBLE_WIDE
ナーガクイーン	ナーガクイーン	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	敵に反撃されない	DOUBLE_WIDE
ジャイアント	ジャイアント	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	精神系の呪文が効かない	KING_3
タイタン	タイタン	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	"精神系の呪文が効かない
ブラックドラゴンを憎んでいる"	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
インプ	インプ	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
ファミリア	ファミリア	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	魔力を吸収	0
ゴッグ	ゴッグ	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
マゴッグ	マゴッグ	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	ファイアーボールによる攻撃	SHOOTING_ARMY
ヘルハウンド	ヘルハウンド	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
ケルベロス	ケルベロス	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	5	0	0	12	20	"3つの頭による攻撃
敵は反撃できない"	DOUBLE_WIDE | FLYING_ARMY
デーモン	デーモン	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
ホーンドデーモン	ホーンドデーモン	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
ピットフィーンド	ピットフィーンド	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
ピットロード	ピットロード	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	友軍の戦死者からデーモンを召喚	0
イフリート	イフリート	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	"炎に耐性
ジンを憎んでいる"	0
イフリートスルタン	イフリートスルタン	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	"ファイアーシールド
炎に耐性。ジンを憎んでいる"	0
デビル	デビル	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	"敵の運－1。敵に反撃されない
エンジェルを憎んでいる"	FLYING_ARMY | KING_2
アークデビル	アークデビル	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	"敵の運－1。敵に反撃されない
エンジェルを憎んでいる"	FLYING_ARMY | KING_2
																								
																								
																								
スケルトン	スケルトン	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	アンデッド	IS_UNDEAD
スケルトンウォリアー	スケルトンウォリアー	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	アンデッド	IS_UNDEAD
ウォーキングデッド	ウォーキングデッド	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	アンデッド	IS_UNDEAD
ゾンビ	ゾンビ	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	"アンデッド
病気"	IS_UNDEAD
ワイト	ワイト	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	"アンデッド
再生"	FLYING_ARMY | IS_UNDEAD
レイス	レイス	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	"アンデッド。再生
敵の魔力を吸収"	FLYING_ARMY | IS_UNDEAD
ヴァンパイア	ヴァンパイア	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	"アンデッド
敵に反撃されない"	FLYING_ARMY | IS_UNDEAD
ヴァンパイアロード	ヴァンパイアロード	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	"アンデッド。生命力を吸収
敵に反撃されない"	FLYING_ARMY | IS_UNDEAD
リッチ	リッチ	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	"アンデッド
デスクラウドによる攻撃"	SHOOTING_ARMY | IS_UNDEAD
パワーリッチ	パワーリッチ	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	"アンデッド
デスクラウドによる攻撃"	SHOOTING_ARMY | IS_UNDEAD
ブラックナイト	ブラックナイト	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	"アンデッド
敵を呪う"	DOUBLE_WIDE | IS_UNDEAD
ドレッドナイト	ドレッドナイト	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	"アンデッド。敵を呪う 
死の一撃"	DOUBLE_WIDE | IS_UNDEAD
ボーンドラゴン	ボーンドラゴン	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	"アンデッド
敵の士気－1"	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
ゴーストドラゴン	ゴーストドラゴン	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	"アンデッド。敵の士気－1
攻撃によって敵を老化させる"	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
トログロダイト	トログロダイト	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	目潰しに耐性	0
トログロダイトハイ	トログロダイトハイ	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	目潰しに耐性	0
ハーピー	ハーピー	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	攻撃してから元の場所に戻る	FLYING_ARMY
ハーピーハッグ	ハーピーハッグ	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	"攻撃してから元の場所に戻る
敵に反撃されない"	FLYING_ARMY
ビホルダー	ビホルダー	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	白兵戦のペナルティーなし	SHOOTING_ARMY | const_no_melee_penalty
イーヴィルアイ	イーヴィルアイ	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	白兵戦のペナルティーなし	SHOOTING_ARMY | const_no_melee_penalty
メデューサ	メデューサ	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"白兵戦のペナルティーなし
石化の視線"	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
メデューサクイーン	メデューサクイーン	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"白兵戦のペナルティーなし
石化の視線"	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
ミノタウロス	ミノタウロス	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	高い士気	0
ミノタウロスキング	ミノタウロスキング	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	高い士気	0
マンティコア	マンティコア	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
スコルピコア	スコルピコア	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	毒による麻痺	DOUBLE_WIDE | FLYING_ARMY
レッドドラゴン	レッドドラゴン	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	レベル1－3の呪文に耐性	DOUBLE_WIDE | FLYING_ARMY | KING_1
ブラックドラゴン	ブラックドラゴン	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	全ての呪文に耐性	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
ゴブリン	ゴブリン	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
ホブゴブリン	ホブゴブリン	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
ウルフライダー	ウルフライダー	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
ウルフレイダー	ウルフレイダー	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	攻撃2回	DOUBLE_WIDE
オーク	オーク	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
オークチーフテン	オークチーフテン	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
オーガ	オーガ	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
オーガメイジ	オーガメイジ	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	ストレングス	0
ロック	ロック	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
サンダーバード	サンダーバード	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	ライトニングボルト	FLYING_ARMY | DOUBLE_WIDE
サイクロプス	サイクロプス	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	城壁を攻撃可能	SHOOTING_ARMY | CATAPULT
サイクロプスキング	サイクロプスキング	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	城壁を攻撃可能	SHOOTING_ARMY | CATAPULT
ベヒモス	ベヒモス	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	攻撃目標の防御力が40％減	DOUBLE_WIDE | KING_1
エンシャントベヒモス	エンシャントベヒモス	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	攻撃目標の防御力が80％減	DOUBLE_WIDE | KING_1
																								
																								
																								
ノール	ノール	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
ノールマローダー	ノールマローダー	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
リザードマン	リザードマン	0	0	0	0	0	0	110	115	126	8	0	12	4	5	6	1	3	12	0	16	30		SHOOTING_ARMY
リザードウォリアー	リザードウォリアー	0	0	0	0	0	0	130	130	156	8	0	12	5	5	7	2	3	24	0	16	25		SHOOTING_ARMY
ゴーゴン	ゴーゴン	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
マイティーゴーゴン	マイティーゴーゴン	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	死の凝視	DOUBLE_WIDE
サーペントフライ	サーペントフライ	0	0	0	0	0	0	220	205	256	8	0	20	9	6	8	2	5	0	0	10	20	有利な呪文を無効化	FLYING_ARMY
ドラゴンフライ	ドラゴンフライ	0	0	0	0	0	0	240	205	256	8	0	20	13	6	8	2	5	0	0	10	16	有利な呪文を無効化	FLYING_ARMY
バシリスク	バシリスク	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	石化攻撃	DOUBLE_WIDE
グレーターバシリスク	グレーターバシリスク	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	石化攻撃	DOUBLE_WIDE
ワイバーン	ワイバーン	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
ワイバーンモナーク	ワイバーンモナーク	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	毒	DOUBLE_WIDE | FLYING_ARMY
ヒドラ	ヒドラ	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	"隣接する全ての敵を攻撃
敵は反撃できない"	DOUBLE_WIDE | KING_1
ケイオスヒドラ	ケイオスヒドラ	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	"隣接する全ての敵を攻撃
敵は反撃できない"	DOUBLE_WIDE | KING_1
																								
																								
																								
エアエレメント	エアエレメント	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	"ライトニングボルトと
チェインライトニングに弱い"	0
アースエレメント	アースエレメント	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	メテオシャワーに弱い	0
ファイアーエレメント	ファイアーエレメント	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	"炎に耐性
冷気に弱い"	0
ウォーターエレメント	ウォーターエレメント	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	"冷気に耐性
炎に弱い"	0
ゴールドゴーレム	ゴールドゴーレム	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	呪文によるダメージ85％減	0
ダイヤモンドゴーレム	ダイヤモンドゴーレム	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	呪文によるダメージ95％減	0
																								
																								
																								
ピクシー	ピクシー	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
スプライト	スプライト	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	敵の反撃が無効	FLYING_ARMY | const_free_attack
サイキックエレメント	サイキックエレメント	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	隣接する全ての敵を攻撃（反撃無し）。精神系呪文に耐性	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
マジックエレメント	マジックエレメント	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	隣接する全ての敵を攻撃（反撃無し）。精神系呪文に耐性	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
アイスエレメント	アイスエレメント	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	精神系、氷呪文に耐性。炎に弱い	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2) 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
マグマエレメント	マグマエレメント	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	精神系呪文に耐性。地より耐性	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ストームエレメント	ストームエレメント	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	ライトニングボルトに弱い	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
エナジーエレメント	エナジーエレメント	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	炎に対する耐性呪文を唱える。コントロールと炎に耐性。冷気に弱い	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
ファイアーバード	ファイアーバード	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	プレスによる攻撃。炎に耐性	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
フェニックス	フェニックス	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	プレスによる攻撃。炎に耐性。再復活	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
アジュールドラゴン	アジュールドラゴン	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	相手に恐怖感を与える	DOUBLE_WIDE | FLYING_ARMY | KING_1
クリスタルドラゴン	クリスタルドラゴン	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	水晶からなる。	DOUBLE_WIDE | FLYING_ARMY | KING_1
フェアリードラゴン	フェアリードラゴン	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	攻撃魔法を使用	DOUBLE_WIDE | FLYING_ARMY | KING_1
ラストドラゴン	ラストドラゴン	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	酸を吐き出す	DOUBLE_WIDE | FLYING_ARMY | KING_1
エンチャンター	エンチャンター	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	集団に対して呪文を唱える	SHOOTING_ARMY | const_no_melee_penalty
シャープシューター	シャープシューター	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	距離、城壁による攻撃力低下なし	SHOOTING_ARMY
ハーフリング	ハーフリング	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	高い運をもつ	SHOOTING_ARMY
ペザント	ペザント	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
ボア	ボア	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
マミー	マミー	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	呪う	
ノマド	ノマド	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	砂漠を自由に移動	
ローグ	ローグ	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	詳細情報を提供	
トロール	トロール	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	ダメージ回復	
																								
																								
																								
カタパルト	カタパルト	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	城壁を攻撃可能	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
バリスタ	バリスタ	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
救護テント	教護テント	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	クリーチャーの体力を回復	DOUBLE_WIDE | SIEGE_WEAPON
弾薬庫	弾薬庫	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	無制限に射撃可能	SIEGE_WEAPON
弓兵の塔	弓兵の塔	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	無制限に射撃可能	SIEGE_WEAPON
