			School				Cost				Effect					% Chance to gain								AI value				Right Click Text				
クイックサンド	クイックサンド	2	x	 	 	 	8	6	6	6	0	0	0	0	0	6	10	6	8	8	8	8	10	1	1	1	1	"{「クイックサンド」}

小規模な流砂が戦場に4つ配置される。配置場所はラ
ンダムに決定されるが、その場所は呪文を使った本人
とその地形に土地勘を持つクリーチャーにしかわから
ない。流砂に足を踏み入れると、そのターンの移動は
そこで終わりとなる。誰かが足を踏み入れた流砂は誰
からも見えるようになる。"	"{「クイックサンド」修得者レベル}

小規模な流砂が戦場に4つ配置される。配置場所はラ
ンダムに決定されるが、その場所は呪文を使った本人
とその地形に土地勘を持つクリーチャーにしかわから
ない。流砂に足を踏み入れると、そのターンの移動は
そこで終わりとなる。誰かが足を踏み入れた流砂は誰
からも見えるようになる。"	"{「クイックサンド」熟練者レベル}

小規模な流砂が戦場に6つ配置される。配置場所はラ
ンダムに決定されるが、その場所は呪文を使った本人
とその地形に土地勘を持つクリーチャーにしかわから
ない。流砂に足を踏み入れると、そのターンの移動は
そこで終わりとなる。誰かが足を踏み入れた流砂は誰
からも見えるようになる。"	"{「クイックサンド」達人レベル}

小規模な流砂が戦場に8つ配置される。配置場所はラ
ンダムに決定されるが、その場所は呪文を使った本人
とその地形に土地勘を持つクリーチャーにしかわから
ない。流砂に足を踏み入れると、そのターンの移動は
そこで終わりとなる。誰かが足を踏み入れた流砂は誰
からも見えるようになる。"	 COMBAT_SPELL|LOCATION_TARGET
ランドマイン	ランドマイン	3	 	 	x	 	18	15	15	15	10	25	25	50	100	4	4	10	8	8	8	8	8	1	1	1	1	"{「ランドマイン」}

地雷が戦場に4つ配置される。配置場所はランダムに
決定され、その場所は呪文を使った本人とその地形に
土地勘を持つクリーチャーにしかわからない。地雷の
上を通ったクリーチャーはダメージをこうむる。"	"{「ランドマイン」修得者レベル}

地雷が戦場に4つ配置される。配置場所はランダムに
決定され、その場所は呪文を使った本人とその地形に
土地勘を持つクリーチャーにしかわからない。地雷の
上を通ったクリーチャーはダメージをこうむる。"	"{「ランドマイン」熟練者レベル}

地雷が戦場に6つ配置される。配置場所はランダムに
決定され、その場所は呪文を使った本人とその地形に
土地勘を持つクリーチャーにしかわからない。地雷の
上を通ったクリーチャーはダメージをこうむる。
修得者レベルより25ポイント多くダメージを与える。"	"{「ランドマイン」達人レベル}

地雷が戦場に8つ配置される。配置場所はランダムに
決定され、その場所は呪文を使った本人とその地形に
土地勘を持つクリーチャーにしかわからない。地雷の
上を通ったクリーチャーはダメージをこうむる。
修得者レベルより75ポイント多くダメージを与える。"	 COMBAT_SPELL|LOCATION_TARGET
フォースフィールド	フォースフィールド	3	x	 	 	 	12	9	9	9	0	0	0	0	0	8	6	10	8	8	10	4	8	1	1	1	1	"{「フォースフィールド」}

戦場に小さな力場が形成される。場所は呪文の使用者
が指定する。"	"{「フォースフィールド」修得者レベル}

戦場に小さな力場が形成される。場所は呪文の使用者
が指定する。"	"{「フォースフィールド」熟練者レベル}

戦場に中くらいの大きさの力場が形成される。場所は
呪文の使用者が指定する。"	"{「フォースフィールド」達人レベル}

戦場に中くらいの大きさの力場が形成される。場所は
呪文の使用者が指定する。"	 COMBAT_SPELL|LOCATION_TARGET
ファイアーウォール	ファイアーウォール	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	6	10	6	8	8	4	1	1	1	1	"{「ファイアーウォール」}

戦場に小さな炎の壁を作り出す。場所は呪文の使用者
が指定する。この壁を通った部隊はダメージをこうむ
る。"	"{「ファイアーウォール」修得者レベル}

戦場に小さな炎の壁を作り出す。場所は呪文の使用者
が指定する。この壁を通った部隊はダメージをこうむ
る。"	"{「ファイアーウォール」熟練者レベル}

戦場に中くらいの大きさの炎の壁を作り出す。場所は
呪文の使用者が指定する。この壁を通った部隊はダメ
ージをこうむる。"	"{「ファイアーウォール」達人レベル}

戦場に中くらいの大きさの炎の壁を作り出す。場所は
呪文の使用者が指定する。この壁を通った部隊はダメ
ージをこうむる。"	 COMBAT_SPELL|LOCATION_TARGET
アースクエイク	アースクエイク	3	x	 	 	 	20	17	17	17	1	2	2	3	4	6	10	6	8	12	8	10	8	1	1	1	1	"{「アースクエイク」}

攻城戦において、ランダムに決定された城壁2箇所に
ダメージを与える。"	"{「アースクエイク」修得者レベル}

攻城戦において、ランダムに決定された城壁2箇所に
ダメージを与える。"	"{「アースクエイク」熟練者レベル}

攻城戦において、ランダムに決定された城壁3箇所に
ダメージを与える。"	"{「アースクエイク」達人レベル}

攻城戦において、ランダムに決定された城壁4箇所に
ダメージを与える。"	 COMBAT_SPELL
マジックアロー	マジックアロー	1	x	x	x	x	5	4	4	4	10	10	10	20	30	6	6	6	6	6	6	6	6	10	10	10	10	"{「マジックアロー」}

魔力の矢で選択した部隊を攻撃する。"	"{「マジックアロー」修得者レベル}

魔力の矢で選択した部隊を攻撃する。"	"{「マジックアロー」熟練者レベル}

魔力の矢で選択した部隊を攻撃する。
修得者レベルより10ポイント多くダメージを与える。"	"{「マジックアロー」達人レベル}

魔力の矢で選択した部隊を攻撃する。
修得者レベルより20ポイント多くダメージを与える。"	 COMBAT_SPELL|CREATURE_TARGET
アイスボルト	アイスボルト	2	 	x	 	 	8	6	6	6	20	10	10	20	50	10	6	6	4	4	2	6	8	20	20	20	20	"{「アイスボルト」}

選択した部隊から体温を奪いダメージを与える。"	"{「アイスボルト」修得者レベル}

選択した部隊から体温を奪いダメージを与える。"	"{「アイスボルト」熟練者レベル}

選択した部隊から体温を奪いダメージを与える。
修得者レベルより10ポイント多くダメージを与える。"	"{「アイスボルト」達人レベル}

選択した部隊から体温を奪いダメージを与える。
修得者レベルより40ポイント多くダメージを与える。"	 COMBAT_SPELL|CREATURE_TARGET
ライトニングボルト	ライトニングボルト	2	 	 	 	x	10	8	8	8	25	10	10	20	50	8	6	10	6	6	8	4	6	25	25	25	25	"{「ライトニングボルト」}

稲妻を放って選択した部隊を攻撃する。"	"{「ライトニングボルト」修得者レベル}

稲妻を放って選択した部隊を攻撃する。"	"{「ライトニングボルト」熟練者レベル}

稲妻を放って選択した部隊を攻撃する。
修得者レベルより10ポイント多くダメージを与える。"	"{「ライトニングボルト」達人レベル}

稲妻を放って選択した部隊を攻撃する。
修得者レベルより40ポイント多くダメージを与える。"	 COMBAT_SPELL|CREATURE_TARGET
インプロージョン	インプロージョン	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	10	10	16	10	0	0	75	75	75	75	"{「インプロージョン」}

1つの部隊に大ダメージを与える。"	"{「インプロージョン」修得者レベル}

1つの部隊に大ダメージを与える。"	"{「インプロージョン」熟練者レベル}

1つの部隊に大ダメージを与える。
修得者レベルより＋100ポイントダメージ。"	"{「インプロージョン」達人レベル}

1つの部隊に大ダメージを与える。
修得者レベルより＋200ポイントダメージ。"	 COMBAT_SPELL|CREATURE_TARGET
チェインライトニング	チェインライトニング	4	 	 	 	x	24	20	20	20	40	25	25	50	100	8	6	10	4	6	8	0	0	75	75	75	75	"{「チェインライトニング」}

選択した部隊に稲妻を放つ。稲妻は選択した部隊に命
中した後、最も近くにいる部隊を襲い、半分のダメー
ジを与える。その後も同様に次の部隊を襲い、再び半
分のダメージを与える。これは4つの部隊に稲妻が命
中するまで続く。"	"{「チェインライトニング」修得者レベル}

選択した部隊に稲妻を放つ。稲妻は選択した部隊に命
中した後、最も近くにいる部隊を襲い、半分のダメー
ジを与える。その後も同様に次の部隊を襲い、再び半
分のダメージを与える。これは4つの部隊に稲妻が命
中するまで続く。"	"{「チェインライトニング」熟練者レベル}

選択した部隊に稲妻を放つ。稲妻は選択した部隊に命
中した後、最も近くにいる部隊を襲い、半分のダメー
ジを与える。その後も同様に次の部隊を襲い、再び半
分のダメージを与える。これは5つの部隊に稲妻が命
中するまで続く。
基本ダメージも、修得者レベルより25ポイント多い。"	"{「チェインライトニング」達人レベル}

選択した部隊に稲妻を放つ。稲妻は選択した部隊に命
中した後、最も近くにいる部隊を襲い、半分のダメー
ジを与える。その後も同様に次の部隊を襲い、再び半
分のダメージを与える。これは5つの部隊に稲妻が命
中するまで続く。
基本ダメージも、修得者レベルより75ポイント多い。"	 COMBAT_SPELL|CREATURE_TARGET
フロストリング	フロストリング	3	 	x	 	 	12	9	9	9	10	15	15	30	60	10	8	4	0	4	4	6	10	12	12	12	12	"{「フロストリング」}

目標そのものにはダメージを与えず、隣接しているヘ
ックスにいる部隊からだけ体温を奪いダメージを与え
る。"	"{「フロストリング」修得者レベル}

目標そのものにはダメージを与えず、隣接しているヘ
ックスにいる部隊からだけ体温を奪いダメージを与え
る。"	"{「フロストリング」熟練者レベル}

目標そのものにはダメージを与えず、隣接しているヘ
ックスにいる部隊からだけ体温を奪いダメージを与え
る。
修得者レベルより15ポイント多くダメージを与える。"	"{「フロストリング」達人レベル}

目標そのものにはダメージを与えず、隣接しているヘ
ックスにいる部隊からだけ体温を奪いダメージを与え
る。
修得者レベルより45ポイント多くダメージを与える。"	 COMBAT_SPELL|LOCATION_TARGET
ファイアーボール	ファイアーボール	3	 	 	x	 	15	12	12	12	10	15	15	30	60	4	4	4	10	6	6	8	4	15	15	15	15	"{「ファイアーボール」}

目標を炎で包む。目標とそれに隣接する部隊は炎によ
ってダメージをこうむる。"	"{「ファイアーボール」修得者レベル}

目標を炎で包む。目標とそれに隣接する部隊は炎によ
ってダメージをこうむる。"	"{「ファイアーボール」熟練者レベル}

目標を炎で包む。目標とそれに隣接する部隊は炎によ
ってダメージをこうむる。
修得者レベルより15ポイント多くダメージを与える。"	"{「ファイアーボール」達人レベル}

目標を炎で包む。目標とそれに隣接する部隊は炎によ
ってダメージをこうむる。
修得者レベルより45ポイント多くダメージを与える。"	 COMBAT_SPELL|LOCATION_TARGET
インフェルノ	インフェルノ	4	 	 	x	 	16	12	12	12	10	20	20	40	80	4	4	6	10	5	6	0	0	20	20	20	20	"{「インフェルノ」}

巨大な火の玉を放って目標を攻撃する。この呪文を使
う時に目標の近くにいるのは危険きわまりない。"	"{「インフェルノ」修得者レベル}

巨大な火の玉を放って目標を攻撃する。この呪文を使
う時に目標の近くにいるのは危険きわまりない。"	"{「インフェルノ」熟練者レベル}

巨大な火の玉を放ち、選択した部隊を攻撃する。この
呪文を使う時に目標の近くにいるのは危険きわまりな
い。
修得者レベルより20ポイント多くダメージを与える。"	"{「インフェルノ」達人レベル}

巨大な火の玉を放ち、選択した部隊を攻撃する。この
呪文を使う時に目標の近くにいるのは危険きわまりな
い。
修得者レベルより60ポイント多くダメージを与える。"	 COMBAT_SPELL|LOCATION_TARGET
メテオシャワー	メテオシャワー	4	x	 	 	 	16	12	12	12	25	25	25	50	100	6	8	8	8	10	8	0	0	37	37	37	37	"{「メテオシャワー」}

目標とそれに隣接する部隊に隕石の雨を降らせる。"	"{「メテオシャワー」修得者レベル}

目標とそれに隣接する部隊に隕石の雨を降らせる。"	"{「メテオシャワー」熟練者レベル}

目標とそれに隣接する部隊に隕石の雨を降らせる。
修得者レベルより25ポイント多くダメージを与える。"	"{「メテオシャワー」達人レベル}

目標とそれに隣接する部隊に隕石の雨を降らせる。
修得者レベルより75ポイント多くダメージを与える。"	 COMBAT_SPELL|LOCATION_TARGET
デス	デス	2	x	 	 	 	10	8	8	8	5	10	10	20	30	4	4	6	8	4	8	8	4	20	20	20	20	"{「デス」}

死の波動を戦場全域に送り、アンデッドを除く全ての
部隊にダメージを与える。"	"{「デス」修得者レベル}

死の波動を戦場全域に送り、アンデッドを除く全ての
部隊にダメージを与える。"	"{「デス」熟練者レベル}

死の波動を戦場全域に送り、アンデッドを除く全ての
部隊にダメージを与える。
修得者レベルより10ポイント多くダメージを与える。"	"{「デス」達人レベル}

死の波動を戦場全域に送り、アンデッドを除く全ての
部隊にダメージを与える。
修得者レベルより20ポイント多くダメージを与える。"	 COMBAT_SPELL
ターンアンデッド	ターンアンデッド	3	 	 	 	x	15	12	12	12	10	10	10	20	50	10	10	6	6	4	6	4	6	40	40	40	40	"{「ターンアンデッド」}

戦場に存在する全アンデッドにダメージを与える。"	"{「ターンアンデッド」修得者レベル}

戦場に存在する全アンデッドにダメージを与える。"	"{「ターンアンデッド」熟練者レベル}

戦場に存在する全アンデッドにダメージを与える。
修得者レベルより10ポイント多くダメージを与える。"	"{「ターンアンデッド」達人レベル}

戦場に存在する全アンデッドにダメージを与える。
修得者レベルより40ポイント多くダメージを与える。"	 COMBAT_SPELL
ハルマゲドン	ハルマゲドン	4	 	 	x	 	24	20	20	20	50	30	30	60	120	4	4	6	8	6	10	0	0	100	100	100	100	"{「ハルマゲドン」}

戦場に炎の雨を降らせ、全ての部隊にダメージを与え
る。"	"{「ハルマゲドン」修得者レベル}

戦場に炎の雨を降らせ、全ての部隊にダメージを与え
る。"	"{「ハルマゲドン」熟練者レベル}

戦場に炎の雨を降らせ、全ての部隊にダメージを与え
る。
修得者レベルより30ポイント多くダメージを与える。"	"{「ハルマゲドン」達人レベル}

戦場に炎の雨を降らせ、全ての部隊にダメージを与え
る。
修得者レベルより90ポイント多くダメージを与える。"	 COMBAT_SPELL
シールド	シールド	1	x	 	 	 	5	4	4	4	0	85	85	70	70	8	6	6	8	8	6	10	8	10	10	20	20	"{「シールド」}

選択した部隊を魔力の障壁で守り、白兵戦によってこ
うむるダメージを減らす。"	"{「シールド」修得者レベル}

選択した部隊を魔力の障壁で守り、白兵戦によってこ
うむるダメージを減らす。"	"{「シールド」熟練者レベル}

選択した部隊を魔力の障壁で守り、白兵戦によってこ
うむるダメージを減らす。
修得者レベルの2倍の防御効果を持つ。"	"{「シールド」達人レベル}

選択した部隊を魔力の障壁で守り、白兵戦によってこ
うむるダメージを減らす。
修得者レベルの2倍の防御効果を持つ。"	 COMBAT_SPELL|CREATURE_TARGET_2
エアーシールド	エアーシールド	3	 	 	 	x	12	9	9	9	0	75	75	50	50	8	6	10	6	6	6	6	6	20	20	50	50	"{「エアーシールド」}

選択した部隊を魔力の障壁で守り、飛び道具によって
こうむるダメージを減らす。"	"{「エアーシールド」修得者レベル}

選択した部隊を魔力の障壁で守り、飛び道具によって
こうむるダメージを減らす。"	"{「エアーシールド」熟練者レベル}

選択した部隊を魔力の障壁で守り、飛び道具によって
こうむるダメージを減らす。
修得者レベルの2倍の防御効果を持つ。"	"{「エアーシールド」達人レベル}

全ての味方部隊を魔力の障壁で守り、飛び道具によっ
てこうむるダメージを減らす。
修得者レベルの2倍の防御効果を持つ。"	 COMBAT_SPELL|CREATURE_TARGET_2
ファイアーシールド	ファイアーシールド	4	 	 	x	 	16	12	12	12	0	20	20	25	30	4	4	6	11	5	4	0	0	10	10	12	15	"{「ファイアーシールド」}

味方部隊にかける。防御力そのものが向上するわけで
はないが、炎の盾ごしに攻撃した敵部隊は、自分自身
もダメージをこうむる。その量は与えたダメージに比
例する。"	"{「ファイアーシールド」修得者レベル}

味方部隊にかける。防御力そのものが向上するわけで
はないが、炎の盾ごしに攻撃した敵部隊は、自分自身
もダメージをこうむる。その量は与えたダメージに比
例する。"	"{「ファイアーシールド」熟練者レベル}

味方部隊にかける。防御力そのものが向上するわけで
はないが、炎の盾ごしに攻撃した敵部隊は、自分自身
もダメージをこうむる。その量は与えたダメージに比
例する。
修得者レベルより5％多くダメージを与える。"	"{「ファイアーシールド」達人レベル}

味方部隊にかける。防御力そのものが向上するわけで
はないが、炎の盾ごしに攻撃した敵部隊は、自分自身
もダメージをこうむる。その量は与えたダメージに比
例する。
修得者レベルより10％多くダメージを与える。"	 COMBAT_SPELL|CREATURE_TARGET
レジストエアー	レジストエアー	2		 	 	x	7	5	5	5	0	70	70	50	50	6	8	8	8	8	8	10	6	2	2	4	4	"{「レジストエアー」}

選択した部隊を魔力で守り、風の魔法によってこうむ
るダメージを減らす。"	"{「レジストエアー」修得者レベル}

選択した部隊を魔力で守り、風の魔法によってこうむ
るダメージを減らす。"	"{「レジストエアー」熟練者レベル}

選択した部隊を魔力で守り、風の魔法によってこうむ
るダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	"{「レジストエアー」達人レベル}

全ての味方部隊を魔力で守り、風の魔法によってこう
むるダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	 COMBAT_SPELL|CREATURE_TARGET_2
レジストファイアー	レジストファイアー	1	 		x	 	5	4	4	4	0	70	70	50	50	8	8	6	4	8	4	6	8	2	2	4	4	"{「レジストファイアー」}

選択した部隊を魔力で守り、炎の魔法によってこうむ
るダメージを減らす。"	"{「レジストファイアー」修得者レベル}

選択した部隊を魔力で守り、炎の魔法によってこうむ
るダメージを減らす。"	"{「レジストファイアー」熟練者レベル}

選択した部隊を魔力で守り、炎の魔法によってこうむ
るダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	"{「レジストファイアー」達人レベル}

全ての味方部隊を魔力で守り、炎の魔法によってこう
むるダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	 COMBAT_SPELL|CREATURE_TARGET_2
レジストウォーター	レジストウォーター	1	 	x		 	5	4	4	4	0	70	70	50	50	4	4	6	10	8	8	6	4	2	2	4	4	"{「レジストウォーター」}

選択した部隊を魔力で守り、水の魔法によってこうむ
るダメージを減らす。"	"{「レジストウォーター」修得者レベル}

選択した部隊を魔力で守り、水の魔法によってこうむ
るダメージを減らす。"	"{「レジストウォーター」熟練者レベル}

選択した部隊を魔力で守り、水の魔法によってこうむ
るダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	"{「レジストウォーター」達人レベル}

全ての味方部隊を魔力で守り、水の魔法によってこう
むるダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	 COMBAT_SPELL|CREATURE_TARGET_2
レジストアース	レジストアース	3	x	 	 		12	9	9	9	0	70	70	50	50	8	6	8	6	6	6	4	4	2	2	4	4	"{「レジストアース」}

選択した部隊を魔力で守り、地の魔法によってこうむ
るダメージを減らす。"	"{「レジストアース」修得者レベル}

選択した部隊を魔力で守り、地の魔法によってこうむ
るダメージを減らす。"	"{「レジストアース」熟練者レベル}

選択した部隊を魔力で守り、地の魔法によってこうむ
るダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	"{「レジストアース」達人レベル}

全ての味方部隊を魔力で守り、地の魔法によってこう
むるダメージを減らす。
修得者レベルの2倍近い防御効果を持つ。"	 COMBAT_SPELL|CREATURE_TARGET_2
アンチマジック	アンチマジック	3	x	 	 	 	15	12	12	12	0	4	4	5	6	6	8	8	8	8	8	10	10	10	10	15	20	"{「アンチマジック」}

選択した部隊をあらゆる低レベル呪文から守る。"	"{「アンチマジック」修得者レベル}

選択した部隊をあらゆる低レベル呪文から守る。"	"{「アンチマジック」熟練者レベル}

選択した部隊を最強レベル以外の呪文から守る。"	"{「アンチマジック」達人レベル}

選択した部隊をあらゆる呪文から守る。"	 COMBAT_SPELL|CREATURE_TARGET
ディスペル	ディスペル	1	 	x	 	 	5	4	4	4	0	0	0	0	0	8	8	10	8	8	10	10	8	3	3	3	3	"{「ディスペル」}

味方部隊からあらゆる呪文の効果を取り除く。"	"{「ディスペル」修得者レベル}

味方部隊からあらゆる呪文の効果を取り除く。"	"{「ディスペル」熟練者レベル}

味方及び敵部隊からあらゆる呪文の効果を取り除く。"	"{「ディスペル」達人レベル}

戦場に存在する全ての部隊からあらゆる呪文の効果を
取り除く。"	 COMBAT_SPELL|CREATURE_TARGET_1
カウンターマジック	カウンターマジック	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	12	15	12	11	15	0	0	12	12	18	24	"{「カウンターマジック」}

攻撃的な呪文を20％の確率でランダムに決定した敵部
隊に跳ね返す。"	"{「カウンターマジック」修得者レベル}

攻撃的な呪文を20％の確率でランダムに決定した敵部
隊に跳ね返す。"	"{「カウンターマジック」熟練者レベル}

攻撃的な呪文を30％の確率でランダムに決定した敵部
隊に跳ね返す。"	"{「カウンターマジック」達人レベル}

攻撃的な呪文を40％の確率でランダムに決定した敵部
隊に跳ね返す。"	 COMBAT_SPELL|CREATURE_TARGET
