	Description		
運勢	"{「運勢」修得者レベル}

運が1つ上がる。"	"{「運勢」熟練者レベル}

運が2つ上がる。"	"{「運勢」達人レベル}

運が3つ上がる。"
弾道学	"{「弾道学」修得者レベル}

投石器を自在に操作して、好きな場所に狙いを定める
ことができる。また、与えるダメージも増える。"	"{「弾道学」熟練者レベル}

投石器を自在に操作して、好きな場所に狙いを定める
ことができる。また、2回攻撃できる他、与えるダメ
ージも増える。"	"{「弾道学」達人レベル}

投石器を自在に操作して、好きな場所に狙いを定める
ことができる。また、2回攻撃できる他、最大のダメ
ージを与えることができる。"
観察眼	"{「観察眼」修得者レベル}

戦闘中に敵が自分に対して使ったレベル1および2呪文
を、40％の確率で習得することができる。"	"{「観察眼」熟練者レベル}

戦闘中に敵が自分に対して使ったレベル3までの呪文
を、50％の確率で習得することができる。"	"{「観察眼」達人レベル}

戦闘中に敵が自分に対して使ったレベル4までの呪文
を、60％の確率で習得することができる。"
妖術	"{「妖術」修得者レベル}

戦死したクリーチャーの10％を、スケルトンとして蘇
らせることができる。"	"{「妖術」熟練者レベル}

戦死したクリーチャーの20％を、スケルトンとして蘇
らせることができる。"	"{「妖術」達人レベル}

戦死したクリーチャーの30％を、スケルトンとして蘇
らせることができる。"
財産	"{「財産」修得者レベル}

その勇者の領地から国に、毎日125ポイントの黄金が
もたらされる。"	"{「財産」熟練者レベル}

その勇者の領地から国に、毎日250ポイントの黄金が
もたらされる。"	"{「財産」達人レベル}

その勇者の領地から国に、毎日500ポイントの黄金が
もたらされる。"
炎の魔法	"{「炎の魔法」修得者レベル}

炎の魔法を本来よりも少ない消費ポイントで使うこと
ができる。"	"{「炎の魔法」熟練者レベル}

炎の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、効果も上がる。"	"{「炎の魔法」達人レベル}

炎の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、最大の効果を発揮する。"
風の魔法	"{「風の魔法」修得者レベル}

風の魔法を本来よりも少ない消費ポイントで使うこと
ができる。"	"{「風の魔法」熟練者レベル}

風の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、効果もあがる。"	"{「風の魔法」達人レベル}

風の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、最大の効果を発揮する。　"
水の魔法	"{「水の魔法」修得者レベル}

水の魔法を本来よりも少ない消費ポイントで使うこと
ができる。"	"{「水の魔法」熟練者レベル}

水の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、効果も上がる。"	"{「水の魔法」達人レベル}

水の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、最大の効果を発揮する。"
地の魔法	"{「地の魔法」修得者レベル}

地の魔法を本来よりも少ない消費ポイントで使うこと
ができる。"	"{「地の魔法」熟練者レベル}

地の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、効果も上がる。"	"{「地の魔法」達人レベル}

地の魔法を本来よりも少ない消費ポイントで使うこと
ができる。また、最大の効果を発揮する。"
学習	"{「学習」修得者レベル}

レベル1及び2呪文を他の勇者に教えることができる。
具体的には呪文書の間で呪文がやりとりされる。"	"{「学習」熟練者レベル}

レベル3までの呪文を、他の勇者に教えることができ
る。具体的には呪文書の間で呪文がやりとりされる。"	"{「学習」達人レベル}

レベル4までの呪文を、他の勇者に教えることができ
る。具体的には呪文書の間で呪文がやりとりされる。"
戦術	"{「戦術」修得者レベル}

戦闘開始直前に、自軍側の3ヘックス列以内で、軍勢
の配置を変更することができる。"	"{「戦術」熟練者レベル}

戦闘開始直前に、自軍側の5ヘックス列以内で、軍勢
の配置を変更することができる。"	"{「戦術」達人レベル}

戦闘開始直前に、自軍側の7ヘックス列以内で、軍勢
の配置を変更することができる。"
バリスタ	"{「バリスタ」修得者レベル}

バリスタを自在に操作して、2回射撃することができ
る。また、50％の確率でダメージが2倍になる。"	"{「バリスタ」熟練者レベル}

バリスタを自在に操作して、2回射撃することができ
る。また、75％の確率でダメージが2倍になる。"	"{「バリスタ」達人レベル}

バリスタを自在に操作して、2回射撃することができ
る。また、ダメージが2倍になる。"
習得	"{「習得」修得者レベル}

獲得する経験ポイントが5％増える。"	"{「習得」熟練者レベル}

獲得する経験ポイントが10％増える。"	"{「習得」達人レベル}

獲得する経験ポイントが15％増える。"
攻撃	"{「攻撃」修得者レベル}

配下の軍勢が白兵戦で敵に与えるダメージが10％増え
る。"	"{「攻撃」熟練者レベル}

配下の軍勢が白兵戦で敵に与えるダメージが20％増え
る。"	"{「攻撃」達人レベル}

配下の軍勢が白兵戦で敵に与えるダメージが30％増え
る。"
防御	"{「防御」修得者レベル}

配下の軍勢がこうむるダメージが5％減る。"	"{「防御」熟練者レベル}

配下の軍勢がこうむるダメージが10％減る。"	"{「防御」達人レベル}

配下の軍勢がこうむるダメージが15％減る。"
知性	"{「知性」修得者レベル}

最大呪文ポイントが25％増える。"	"{「知性」熟練者レベル}

最大呪文ポイントが50％増える。"	"{「知性」達人レベル}

最大呪文ポイントが2倍になる。"
魔術	"{「魔術」修得者レベル}

戦闘魔法のダメージが5％増える。"	"{「魔術」熟練者レベル}

戦闘魔法のダメージが10％増える。"	"{「魔術」達人レベル}

戦闘魔法のダメージが15％増える。"
レジスト	"{「レジスト」修得者レベル}

配下の軍勢に5％の魔法抵抗力が備わる。"	"{「レジスト」熟練者レベル}

配下の軍勢に10％の魔法抵抗力が備わる。"	"{「レジスト」達人レベル}

配下の軍勢に20％の魔法抵抗力が備わる。"
救護	"{「救護」修得者レベル}

救護テントを使いこなすことによって、選択した部隊
のクリーチャーのダメージを、50ポイント回復させる
ことができる。"	"{「救護」熟練者レベル}

救護テントを使いこなすことによって、選択した部隊
のクリーチャーのダメージを、75ポイント回復させる
ことができる。"	"{「救護」達人レベル}

救護テントを使いこなすことによって、選択した部隊
のクリーチャーのダメージを、100ポイント回復させ
ることができる。"
