Name		Cost															Damage			Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
レイス	レイス	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	12	20	"アンデッド。再生
敵の魔力を吸収"	FLYING_ARMY | IS_UNDEAD
ヴァンパイア	ヴァンパイア	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	10	20	"アンデッド
敵に反撃されない"	FLYING_ARMY | IS_UNDEAD
ヴァンパイアロード	ヴァンパイアロード	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	10	16	"アンデッド。生命力を吸収
敵に反撃されない"	FLYING_ARMY | IS_UNDEAD
リッチ	リッチ	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	8	16	"アンデッド
デスクラウドによる攻撃"	SHOOTING_ARMY | IS_UNDEAD
パワーリッチ	パワーリッチ	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	8	12	"アンデッド
デスクラウドによる攻撃"	SHOOTING_ARMY | IS_UNDEAD
ブラックナイト	ブラックナイト	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	5	12	"アンデッド
敵を呪う"	DOUBLE_WIDE | IS_UNDEAD
ドレッドナイト	ドレッドナイト	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	5	10	"アンデッド。敵を呪う 
死の一撃"	DOUBLE_WIDE | IS_UNDEAD
ボーンドラゴン	ボーンドラゴン	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	4	10	"アンデッド
敵の士気－1"	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
ゴーストドラゴン	ゴーストドラゴン	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	3	8	"アンデッド。敵の士気－1
攻撃によって敵を老化させる"	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																							
																							
																							
トログロダイト	トログロダイト	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	20	50	目潰しに耐性	0
トログロダイトハイ	トログロダイトハイ	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	20	30	目潰しに耐性	0
ハーピー	ハーピー	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	16	30	攻撃してから元の場所に戻る	FLYING_ARMY
ハーピーハッグ	ハーピーハッグ	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	16	25	"攻撃してから元の場所に戻る
敵に反撃されない"	FLYING_ARMY
ビホルダー	ビホルダー	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	12	25	白兵戦のペナルティーなし	SHOOTING_ARMY | const_no_melee_penalty
イーヴィルアイ	イーヴィルアイ	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	12	20	白兵戦のペナルティーなし	SHOOTING_ARMY | const_no_melee_penalty
メデューサ	メデューサ	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	10	20	"白兵戦のペナルティーなし
石化の視線"	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
メデューサクイーン	メデューサクイーン	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	10	16	"白兵戦のペナルティーなし
石化の視線"	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
ミノタウロス	ミノタウロス	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	8	16	高い士気	0
ミノタウロスキング	ミノタウロスキング	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	8	12	高い士気	0
マンティコア	マンティコア	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	5	12		DOUBLE_WIDE | FLYING_ARMY
スコルピコア	スコルピコア	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	5	10	毒による麻痺	DOUBLE_WIDE | FLYING_ARMY
レッドドラゴン	レッドドラゴン	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	4	10	レベル1－3の呪文に耐性	DOUBLE_WIDE | FLYING_ARMY | KING_1
ブラックドラゴン	ブラックドラゴン	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	3	8	全ての呪文に耐性	DOUBLE_WIDE | FLYING_ARMY | KING_1
																							
																							
																							
ゴブリン	ゴブリン	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	20	50		0
ホブゴブリン	ホブゴブリン	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	20	30		0
ウルフライダー	ウルフライダー	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	16	30		DOUBLE_WIDE
ウルフレイダー	ウルフレイダー	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	16	25	攻撃2回	DOUBLE_WIDE
オーク	オーク	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	12	25		SHOOTING_ARMY
オークチーフテン	オークチーフテン	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	12	20		SHOOTING_ARMY
オーガ	オーガ	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	10	20		0
オーガメイジ	オーガメイジ	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	3	10	16	ストレングス	0
ロック	ロック	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	8	16		FLYING_ARMY | DOUBLE_WIDE
サンダーバード	サンダーバード	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	8	12	ライトニングボルト	FLYING_ARMY | DOUBLE_WIDE
サイクロプス	サイクロプス	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	5	12	城壁を攻撃可能	SHOOTING_ARMY | CATAPULT
サイクロプスキング	サイクロプスキング	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	5	10	城壁を攻撃可能	SHOOTING_ARMY | CATAPULT
ベヒモス	ベヒモス	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	4	10	攻撃目標の防御力が40％減	DOUBLE_WIDE | KING_1
エンシャントベヒモス	エンシャントベヒモス	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	3	8	攻撃目標の防御力が80％減	DOUBLE_WIDE | KING_1
																							
																							
																							
ノール	ノール	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	20	50		0
ノールマローダー	ノールマローダー	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	20	30		0
リザードマン	リザードマン	0	0	0	0	0	0	110	115	126	8	0	12	4	5	6	1	3	12	16	30		SHOOTING_ARMY
リザードウォリアー	リザードウォリアー	0	0	0	0	0	0	130	130	156	8	0	12	5	5	7	2	3	24	16	25		SHOOTING_ARMY
ゴーゴン	ゴーゴン	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	12	25		DOUBLE_WIDE
マイティーゴーゴン	マイティーゴーゴン	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	12	20	死の凝視	DOUBLE_WIDE
サーペントフライ	サーペントフライ	0	0	0	0	0	0	220	205	256	8	0	20	9	6	8	2	5	0	10	20	有利な呪文を無効化	FLYING_ARMY
ドラゴンフライ	ドラゴンフライ	0	0	0	0	0	0	240	205	256	8	0	20	13	6	8	2	5	0	10	16	有利な呪文を無効化	FLYING_ARMY
バシリスク	バシリスク	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	8	16	石化攻撃	DOUBLE_WIDE
グレーターバシリスク	グレーターバシリスク	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	8	12	石化攻撃	DOUBLE_WIDE
ワイバーン	ワイバーン	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	5	12		DOUBLE_WIDE | FLYING_ARMY
ワイバーンモナーク	ワイバーンモナーク	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	5	10	毒	DOUBLE_WIDE | FLYING_ARMY
ヒドラ	ヒドラ	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	4	10	"隣接する全ての敵を攻撃
敵は反撃できない"	DOUBLE_WIDE | KING_1
ケイオスヒドラ	ケイオスヒドラ	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	3	8	"隣接する全ての敵を攻撃
敵は反撃できない"	DOUBLE_WIDE | KING_1
																							
																							
																							
エアエレメント	エアエレメント	0	0	0	0	0	0	250	324	356	3	0	25	7	9	9	2	8	0	12	20	"ライトニングボルトと
チェインライトニングに弱い"	0
アースエレメント	アースエレメント	0	0	0	0	0	0	400	415	330	3	0	40	4	10	10	4	8	0	10	16	メテオシャワーに弱い	0
ファイアーエレメント	ファイアーエレメント	0	0	0	0	0	0	350	345	345	3	0	35	6	10	8	4	6	0	12	20	"炎に耐性
冷気に弱い"	0
ウォーターエレメント	ウォーターエレメント	0	0	0	0	0	0	300	315	315	3	0	30	5	8	10	3	7	0	12	20	"冷気に耐性
炎に弱い"	0
ゴールドゴーレム	ゴールドゴーレム	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	10	16	呪文によるダメージ85％減	0
ダイヤモンドゴーレム	ダイヤモンドゴーレム	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	8	12	呪文によるダメージ95％減	0
																							
																							
																							
カタパルト	カタパルト	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	城壁を攻撃可能	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
バリスタ	バリスタ	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
救護テント	教護テント	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	クリーチャーの体力が回復	DOUBLE_WIDE | SIEGE_WEAPON
弾薬庫	弾薬庫	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	無制限に射撃可能	SIEGE_WEAPON
